nome_veiculo,cod_veiculo,cod_marca,cod_veiculo_especifico
Renegade Longitude 1.8 4x2 Flex 16V Aut.,7186,29,"[{'Label': '2021 Gasolina', 'Value': '2021-1'}, {'Label': '2020 Gasolina', 'Value': '2020-1'}, {'Label': '2019 Gasolina', 'Value': '2019-1'}, {'Label': '2018 Gasolina', 'Value': '2018-1'}, {'Label': '2017 Gasolina', 'Value': '2017-1'}, {'Label': '2016 Gasolina', 'Value': '2016-1'}, {'Label': '2015 Gasolina', 'Value': '2015-1'}]"
Renegade Longitude 2.0 4x4 TB Diesel Aut,7187,29,"[{'Label': '2021 Diesel', 'Value': '2021-3'}, {'Label': '2020 Diesel', 'Value': '2020-3'}, {'Label': '2019 Diesel', 'Value': '2019-3'}, {'Label': '2018 Diesel', 'Value': '2018-3'}, {'Label': '2017 Diesel', 'Value': '2017-3'}, {'Label': '2016 Diesel', 'Value': '2016-3'}]"
Renegade Moab 2.0 4x4 TB Diesel Aut.,9165,29,"[{'Label': '2021 Diesel', 'Value': '2021-3'}]"
Renegade Night Eagle 1.8 4x2  Flex Aut.,8058,29,"[{'Label': '2018 Gasolina', 'Value': '2018-1'}]"
Renegade Night Eagle 2.0 4x4 TB Die. Aut,8059,29,"[{'Label': '2018 Diesel', 'Value': '2018-3'}]"
Renegade S T270 1.3 TB 4x4 Flex Aut.,9746,29,"[{'Label': '32000 Gasolina', 'Value': '32000-1'}, {'Label': '2024 Gasolina', 'Value': '2024-1'}, {'Label': '2023 Gasolina', 'Value': '2023-1'}, {'Label': '2022 Gasolina', 'Value': '2022-1'}]"
Renegade Sport 1.8 4x2 Flex 16V Aut.,7188,29,"[{'Label': '2021 Gasolina', 'Value': '2021-1'}, {'Label': '2020 Gasolina', 'Value': '2020-1'}, {'Label': '2019 Gasolina', 'Value': '2019-1'}, {'Label': '2018 Gasolina', 'Value': '2018-1'}, {'Label': '2017 Gasolina', 'Value': '2017-1'}, {'Label': '2016 Gasolina', 'Value': '2016-1'}]"
Renegade Sport 1.8 4x2 Flex 16V Mec.,7189,29,"[{'Label': '2019 Gasolina', 'Value': '2019-1'}, {'Label': '2018 Gasolina', 'Value': '2018-1'}, {'Label': '2017 Gasolina', 'Value': '2017-1'}, {'Label': '2016 Gasolina', 'Value': '2016-1'}, {'Label': '2015 Gasolina', 'Value': '2015-1'}]"
Renegade Sport 2.0 4x4 TB Diesel Aut.,7190,29,"[{'Label': '2017 Diesel', 'Value': '2017-3'}, {'Label': '2016 Diesel', 'Value': '2016-3'}]"
Renegade Sport T270 1.3 TB 4x2 Flex Aut.,9747,29,"[{'Label': '32000 Gasolina', 'Value': '32000-1'}, {'Label': '2024 Gasolina', 'Value': '2024-1'}, {'Label': '2023 Gasolina', 'Value': '2023-1'}, {'Label': '2022 Gasolina', 'Value': '2022-1'}]"
Renegade STD 1.8 4x2 Flex 16v Aut.,8903,29,"[{'Label': '2021 Gasolina', 'Value': '2021-1'}, {'Label': '2020 Gasolina', 'Value': '2020-1'}]"
Renegade T270 1.3 TB 4x2 Flex Aut.,10680,29,"[{'Label': '32000 Gasolina', 'Value': '32000-1'}, {'Label': '2025 Gasolina', 'Value': '2025-1'}, {'Label': '2024 Gasolina', 'Value': '2024-1'}, {'Label': '2023 Gasolina', 'Value': '2023-1'}]"
